Date,Author,Predicted Sentiment,Observed Sentiment,Text,Score.Positive,Score.Neutral,Score.Negative
Tue Nov 22 23:59:35 +0000 2016,James F. Ruffer III,negative,,We usually fly @Delta but had to go @AmericanAir and remember why. They forgot to clean before flight mem to clt https://t.co/tLuNElla9h,0.173412285497,0.3833863147,0.443201399803
Tue Nov 22 23:57:24 +0000 2016,Stevie Lewis,neutral,,@AmericanAir woulyou please help to confirm that my out trip from lax to London is a business class ticket. https://t.co/IIVvqDGujt,0.125850238973,0.464419494137,0.40973026689
Tue Nov 22 23:57:22 +0000 2016,OITW,negative,,@AmericanAir really rude and horrible gate crew for flight PHL to BOS,0.241670780968,0.345356088082,0.412973130951
Tue Nov 22 23:55:37 +0000 2016,JeremyBeardsley,negative,,@AmericanAir just because its policy doesn't make it any less of a silly cash grab. We bought adult ticket for a funeral and are now stuck,0.0913896115398,0.407851599312,0.500758789148
Tue Nov 22 23:55:34 +0000 2016,Joshua Owen,negative,,This is disgusting @AmericanAir and I hope an investigation takes place as to why this happened. https://t.co/0XKEQR6OS2,0.0999975206898,0.36092710283,0.53907537648
Wed Nov 23 23:58:15 +0000 2016,TypeOfGraphic,negative,,"Well, the @AmericanAir bag check-in #UX is awful. No clear instructions, confusing queues, staff a little rude if you offer feedback",0.156057124467,0.387868944289,0.456073931244
Wed Nov 23 23:58:12 +0000 2016,Rebecca Wilson,neutral,,Win! A weekend in NYC from @fathomwaytogo @henribendel @wellandgoodnyc @savoteurco @AmericanAir @Loews_Regency https://t.co/p2wGHBCx3I,0.232170618884,0.432804617353,0.335024763763
Wed Nov 23 23:57:59 +0000 2016,Alex George,negative,,@AmericanAir thank god I switched flights! Plane still sitting on the ground now goin on a 4 hour delay! Thanks for nothin!,0.293288607916,0.236547677251,0.470163714832
Wed Nov 23 23:57:30 +0000 2016,Samantha Mueller,negative,,@AmericanAir honestly that's what I've been doing for the past four and a half hours,0.19457059953,0.260648323593,0.544781076877
Thu Nov 24 23:51:36 +0000 2016,Mahmoud Abulhassan,positive,,@AmericanAir happy Thanksgiving!,0.680055130575,0.101677691869,0.218267177556
Thu Nov 24 23:44:33 +0000 2016,Lance Gobaira,positive,,@AmericanAir just got me home 1 hour early  PHL-MIA! Thanks for being AAwesome _Ù÷_,0.511464746225,0.210589356944,0.27794589683
Thu Nov 24 23:35:54 +0000 2016,Julia Arciga,negative,,"@AmericanAir I can't check-in online, every time I try it brings me to an error page!",0.1196957974,0.338737262774,0.541566939826
Thu Nov 24 23:34:45 +0000 2016,Richard Thompson,negative,,Always fun to be met by airport fire services on landing. Thanks @AmericanAir for putting us on a plane without working flaps.  #AA1089,0.301582145291,0.301170141671,0.397247713038
Thu Nov 24 23:30:05 +0000 2016,Jason Palmer,negative,,"@AmericanAir hey there,  We've now been told that because we were not first class there is no accommodation for us. I'm diabetic.  Thanks!!!",0.294194110431,0.303802968917,0.402002920652
Fri Nov 25 23:59:21 +0000 2016,Dan Gainor,negative,,@TheBlazeHotList Just don't fly @AmericanAir if you want to get there or back.,0.115673391792,0.403640047056,0.480686561152
Fri Nov 25 23:59:10 +0000 2016,Dawn G,negative,,@AmericanAir after travelling 24 hrs only to be harrassed by employee Eugene Elysee at the gate is a big problem. Will not choose AA again,0.115345955446,0.302897379461,0.581756665093
Fri Nov 25 23:55:53 +0000 2016,Kevin Torres-Cuautli,neutral,,@AirlineFlyer @AmericanAir They just won't change the tenderloin and oxtail ravioli. Dear God.,0.121810641824,0.4489867105,0.429202647677
Fri Nov 25 23:55:22 +0000 2016,Michael Duda,positive,,@AmericanAir Recieved an offer to upgrade family of 5 to first class. Then it disappeared? Confirm #KHQMYK. Thanks.,0.454959148907,0.323895055952,0.221145795142
Fri Nov 25 23:51:32 +0000 2016,John Scott Lewinski,negative,,". @AmericanAir 45 min for bags to unload at a dead MKE on a big travel wknd. Did someone on your baggage crew die?! ""Going for awful!""",0.136073398801,0.350710064048,0.513216537151
Sat Nov 26 23:59:54 +0000 2016,DFW Tower.com,neutral,,"Photo of N494AA, an @AmericanAir Super 80 seen at #DFW eight years ago. #avgeek #airlines https://t.co/K3ckCjrVJF",0.229369566097,0.480918788515,0.289711645387
Sat Nov 26 23:59:35 +0000 2016,Paul's Letters _ÙÒ_,negative,,@AmericanAir They could see our connection was on time and that we had to sprint across two terminals. But they gave away our seats!,0.16006585357,0.301454525647,0.538479620783
Sat Nov 26 23:58:26 +0000 2016,ChrisNH,negative,,"Why doesn't @AmericanAir use their A321 BOS-LAX instead of the 737? Bigger, nicer plane and 'others' now using it.",0.132580101919,0.415510957704,0.451908940377
Sat Nov 26 23:56:49 +0000 2016,äÏÂA JermaineäÏÂ,neutral,,@AmericanAir **Indeed!**,0.365644482008,0.557623095683,0.0767324223097
Sat Nov 26 23:55:50 +0000 2016,CMA,neutral,,@AmericanAir just landed and taxiing. Any chance 1371 will be held for 5 mins? We will run... but gotta get from A to C,0.150189960974,0.484721558228,0.365088480798
